Day,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
1,-1.04,-1.66,-1.69,-1.04,-1.43,-1.58,-8.22,-6.65,-6.42,-7.8,-4.42,-5.6,-5.12,-5.41,-5.36,-5.55,-7.09,-7.42,-7.12,-6.8,-1.66,-1.13,-0.73,0
2,-1.99,-1.98,-1.53,-1.99,-1.82,-1.7,-6.67,-6.64,-6.33,-6.1,-4.11,-4.93,-4.83,-4.22,-5.82,-4.7,-8,-6.74,-6.46,-8.1,-1.35,-1.85,-1.91,-1.21
3,-1.88,-1.13,-1.99,-1.88,-1.15,-1.6,-7.71,-6.92,-8.4,-7.14,-5.22,-4.31,-4.4,-5.1,-4.86,-5.44,-6.97,-7.23,-8.58,-6.05,-1.99,-1.24,-0.59,0
4,-1.86,-1.33,-1.92,-1.86,-1.76,-1.26,-8.76,-8.08,-6.1,-7.31,-5.17,-4.4,-4.18,-5.96,-4.89,-4.58,-7.42,-7.3,-7.75,-7.26,-1.48,-1.07,-0.06,0
5,-1.88,-1.63,-1.35,-1.88,-1.04,-1.78,-6.18,-8.73,-6.63,-8,-5.86,-4.28,-5.14,-4.12,-5.49,-5.56,-6.69,-8.37,-8.96,-8.21,0,0,0,0
6,-1.72,-1.43,-1.1,-1.72,-1.56,-1.65,-8.9,-6.03,-8.06,-8.71,-5.96,-5.01,-4.2,-4.64,-5.97,-5.65,-7.13,-8.28,-6.29,-6.21,-1.26,-0.14,0,0
7,-1.86,-1.11,-1.04,-1.86,-1.96,-1.47,-8.25,-7.43,-7.09,-7.38,-4.76,-4.72,-5.75,-5.62,-4.61,-4.02,-6.44,-7.77,-8.38,-8.35,-1.32,-0.57,0,0
8,-1.68,-1.39,-1.3,-1.68,-1.79,-1.71,-8.77,-8.67,-8.58,-6.53,-5.19,-4.88,-5.14,-4.17,-5.08,-5.73,-7.47,-8.95,-7.96,-4.91,0,0,0,0
9,-1.91,-1.24,-1.94,-1.91,-1.74,-1.74,-7.14,-6.36,-8.22,-8.1,-5.09,-4.08,-5.14,-4.49,-5.41,-4.6,-6.04,-8.48,-7.15,-6.42,-1.55,-1.54,-1.52,0
10,-1.11,-1.34,-1.6,-1.11,-1.04,-1.03,-6.96,-7.03,-7.24,-6.48,-4.36,-5.63,-5.07,-5.02,-4.59,-4.29,-7.67,-7.64,-8.75,-7.36,-1.37,-1.9,-1.63,-0.79
