Day,Time,Level
1,00:00,76.69
1,01:00,17.64
1,02:00,75.47
1,03:00,3.39
1,04:00,94.04
1,05:00,77.77
1,06:00,88.11
1,07:00,73.48
1,08:00,1.82
1,09:00,82.16
1,10:00,34.62
1,11:00,31.17
1,12:00,91.05
1,13:00,22.14
1,14:00,45.58
1,15:00,36.22
1,16:00,57.58
1,17:00,69.56
1,18:00,91.53
1,19:00,50.33
1,20:00,34.01
1,21:00,94.09
1,22:00,42.51
1,23:00,98.66
1,00:00,100.0
2,00:00,80.24
2,01:00,83.39
2,02:00,58.47
2,03:00,21.79
2,04:00,26.14
2,05:00,33.02
2,06:00,41.22
2,07:00,23.58
2,08:00,60.0
2,09:00,4.95
2,10:00,17.56
2,11:00,59.2
2,12:00,48.34
2,13:00,33.22
2,14:00,94.01
2,15:00,95.61
2,16:00,20.55
2,17:00,39.65
2,18:00,29.29
2,19:00,40.9
2,20:00,50.72
2,21:00,20.55
2,22:00,62.9
2,23:00,62.11
2,00:00,100.0
3,00:00,57.65
3,01:00,31.94
3,02:00,29.42
3,03:00,6.79
3,04:00,31.01
3,05:00,83.27
3,06:00,73.26
3,07:00,62.57
3,08:00,21.18
3,09:00,82.97
3,10:00,73.84
3,11:00,97.11
3,12:00,87.15
3,13:00,91.68
3,14:00,12.38
3,15:00,17.87
3,16:00,84.54
3,17:00,90.74
3,18:00,99.35
3,19:00,45.81
3,20:00,23.73
3,21:00,18.92
3,22:00,51.46
3,23:00,91.3
3,00:00,100.0
4,00:00,30.76
4,01:00,34.43
4,02:00,21.69
4,03:00,20.06
4,04:00,77.13
4,05:00,27.07
4,06:00,79.89
4,07:00,77.62
4,08:00,25.64
4,09:00,88.16
4,10:00,97.1
4,11:00,40.68
4,12:00,9.53
4,13:00,26.08
4,14:00,72.33
4,15:00,49.0
4,16:00,79.06
4,17:00,10.01
4,18:00,19.42
4,19:00,3.17
4,20:00,61.92
4,21:00,98.43
4,22:00,67.05
4,23:00,85.45
4,00:00,100.0
5,00:00,87.81
5,01:00,30.05
5,02:00,37.42
5,03:00,49.06
5,04:00,20.36
5,05:00,38.97
5,06:00,69.24
5,07:00,51.35
5,08:00,33.4
5,09:00,14.59
5,10:00,77.41
5,11:00,87.0
5,12:00,80.34
5,13:00,29.95
5,14:00,92.01
5,15:00,78.31
5,16:00,78.08
5,17:00,35.77
5,18:00,6.93
5,19:00,89.3
5,20:00,11.21
5,21:00,97.16
5,22:00,74.0
5,23:00,79.36
5,00:00,100.0
6,00:00,6.6
6,01:00,65.65
6,02:00,31.19
6,03:00,29.7
6,04:00,56.34
6,05:00,49.14
6,06:00,59.44
6,07:00,54.91
6,08:00,10.15
6,09:00,42.09
6,10:00,85.43
6,11:00,78.36
6,12:00,68.61
6,13:00,1.6
6,14:00,54.7
6,15:00,55.1
6,16:00,3.65
6,17:00,79.5
6,18:00,42.27
6,19:00,37.31
6,20:00,13.02
6,21:00,90.87
6,22:00,23.9
6,23:00,13.31
6,00:00,100.0
7,00:00,25.41
7,01:00,61.37
7,02:00,62.38
7,03:00,54.44
7,04:00,21.3
7,05:00,37.87
7,06:00,31.68
7,07:00,85.57
7,08:00,86.46
7,09:00,28.58
7,10:00,53.53
7,11:00,76.91
7,12:00,25.45
7,13:00,13.19
7,14:00,96.44
7,15:00,64.84
7,16:00,75.74
7,17:00,42.07
7,18:00,55.74
7,19:00,69.42
7,20:00,37.56
7,21:00,72.95
7,22:00,58.87
7,23:00,38.6
7,00:00,100.0
8,00:00,41.71
8,01:00,31.08
8,02:00,59.08
8,03:00,45.18
8,04:00,60.6
8,05:00,99.02
8,06:00,83.0
8,07:00,18.17
8,08:00,76.05
8,09:00,69.59
8,10:00,45.34
