Day,Time,Level
1,00:00,100.0
1,01:00,98.25
1,02:00,96.76
1,03:00,95.11
1,04:00,93.65
1,05:00,92.02
1,06:00,82.67
1,07:00,73.39
1,08:00,65.76
1,09:00,57.88
1,10:00,52.66
1,11:00,46.1
1,12:00,39.69
1,13:00,32.01
1,14:00,26.35
1,15:00,19.56
1,16:00,11.91
1,17:00,5.8
1,18:00,0.1
1,19:00,0.1
1,20:00,0.1
1,21:00,0.1
1,22:00,0.1
1,23:00,0.1
2,00:00,100.0
2,01:00,98.29
2,02:00,97.28
2,03:00,96.0
2,04:00,94.51
2,05:00,93.17
2,06:00,86.02
2,07:00,76.71
2,08:00,67.49
2,09:00,60.26
2,10:00,53.06
2,11:00,45.8
2,12:00,40.24
2,13:00,32.99
2,14:00,25.83
2,15:00,20.09
2,16:00,12.94
2,17:00,6.55
2,18:00,0.1
2,19:00,0.1
2,20:00,0.1
2,21:00,0.1
2,22:00,0.1
2,23:00,0.1
3,00:00,100.0
3,01:00,98.61
3,02:00,96.99
3,03:00,95.77
3,04:00,94.24
3,05:00,92.38
3,06:00,83.71
3,07:00,74.72
3,08:00,64.76
3,09:00,54.82
3,10:00,48.88
3,11:00,43.27
3,12:00,36.59
3,13:00,30.38
3,14:00,24.17
3,15:00,18.47
3,16:00,11.69
3,17:00,4.15
3,18:00,0.1
3,19:00,0.1
3,20:00,0.1
3,21:00,0.1
3,22:00,0.1
3,23:00,0.1
4,00:00,100.0
4,01:00,98.88
4,02:00,97.37
4,03:00,95.65
4,04:00,94.41
4,05:00,92.56
4,06:00,85.54
4,07:00,77.82
4,08:00,68.52
4,09:00,59.73
4,10:00,52.85
4,11:00,45.04
4,12:00,39.81
4,13:00,31.81
4,14:00,25.88
4,15:00,18.73
4,16:00,10.47
4,17:00,4.12
4,18:00,0.1
4,19:00,0.1
4,20:00,0.1
4,21:00,0.1
4,22:00,0.1
4,23:00,0.1
5,00:00,100.0
5,01:00,98.52
5,02:00,97.24
5,03:00,95.5
5,04:00,93.58
5,05:00,92.42
5,06:00,83.17
5,07:00,75.91
5,08:00,66.5
5,09:00,59.16
5,10:00,52.73
5,11:00,47.04
5,12:00,41.46
5,13:00,33.46
5,14:00,26.75
5,15:00,20.08
5,16:00,12.19
5,17:00,4.05
5,18:00,0.1
5,19:00,0.1
5,20:00,0.1
5,21:00,0.1
5,22:00,0.1
5,23:00,0.1
6,00:00,100.0
6,01:00,98.96
6,02:00,97.55
6,03:00,95.69
6,04:00,94.33
6,05:00,92.97
6,06:00,85.03
6,07:00,75.5
6,08:00,66.5
6,09:00,58.29
6,10:00,52.43
6,11:00,47.39
6,12:00,39.85
6,13:00,33.74
6,14:00,26.05
6,15:00,20.21
6,16:00,13.72
6,17:00,6.65
6,18:00,0.1
6,19:00,0.1
6,20:00,0.1
6,21:00,0.1
6,22:00,0.1
6,23:00,0.1
7,00:00,100.0
7,01:00,98.62
7,02:00,97.49
7,03:00,95.96
7,04:00,94.45
7,05:00,93.42
7,06:00,84.67
7,07:00,76.21
7,08:00,68.23
7,09:00,58.39
7,10:00,51.2
7,11:00,45.82
7,12:00,38.4
7,13:00,32.04
7,14:00,26.43
7,15:00,20.08
7,16:00,13.19
7,17:00,7.11
7,18:00,1.03
